,Mkt-RF,SMB,HML,RF,Year,Month,Day,Date
19371126,3.96,-1.05,1.68,0.001,1937,11,26,1937-11-26
19371127,4.6,0.11,-0.28,0.001,1937,11,27,1937-11-27
19371129,-1.41,0.09,-0.85,0.001,1937,11,29,1937-11-29
19371130,1.65,-0.18,0.22,0.001,1937,11,30,1937-11-30
19371201,-1.13,-0.36,-1.16,0,1937,12,01,1937-12-01
19371202,1.62,-1.64,0.97,0,1937,12,02,1937-12-02
19371203,1.64,0.48,-0.05,0,1937,12,03,1937-12-03
19371204,0.16,0.07,-0.25,0,1937,12,04,1937-12-04
19371206,-1.4,0.08,-0.81,0,1937,12,06,1937-12-06
19371207,1.15,-1.27,0.03,0,1937,12,07,1937-12-07
19371208,1.02,0.47,0.97,0,1937,12,08,1937-12-08
19371209,-1.43,0.28,-0.54,0,1937,12,09,1937-12-09
19371210,-0.93,-0.18,-0.1,0,1937,12,10,1937-12-10
19371211,0.02,-0.26,0.45,0,1937,12,11,1937-12-11
19371213,-2.74,0.49,-0.61,0,1937,12,13,1937-12-13
19371214,0.26,-0.92,0.18,0,1937,12,14,1937-12-14
19371215,0.58,-0.79,0.19,0,1937,12,15,1937-12-15
19371216,1.2,-0.92,-0.09,0,1937,12,16,1937-12-16
19371217,-0.56,-0.51,-0.29,0,1937,12,17,1937-12-17
19371218,1.1,-1.01,0.58,0,1937,12,18,1937-12-18
19371220,1.39,-0.6,0.39,0,1937,12,20,1937-12-20
19371221,0.31,-0.68,0.03,0,1937,12,21,1937-12-21
19371222,-1.26,0.13,-0.6,0,1937,12,22,1937-12-22
19371223,-0.72,-0.99,-0.23,0,1937,12,23,1937-12-23
19371224,-0.26,0.27,0.22,0,1937,12,24,1937-12-24
19371227,-2.88,-0.66,-0.27,0,1937,12,27,1937-12-27
19371228,-3.28,-0.8,-0.03,0,1937,12,28,1937-12-28
19371229,0.53,-2.06,0.29,0,1937,12,29,1937-12-29
19371230,1.7,1.77,0.17,0,1937,12,30,1937-12-30
19371231,-0.24,1.05,0.35,0,1937,12,31,1937-12-31
19380103,0.17,2.03,-0.16,0,1938,01,03,1938-01-03
19380104,3.19,-1.28,-0.05,0,1938,01,04,1938-01-04
19380105,-0.06,1.91,-0.7,0,1938,01,05,1938-01-05
19380106,3.83,0.04,0.31,0,1938,01,06,1938-01-06
19380107,-0.47,1.87,0.2,0,1938,01,07,1938-01-07
19380108,2.26,0.5,0.5,0,1938,01,08,1938-01-08
19380110,1.88,1.76,0.04,0,1938,01,10,1938-01-10
19380111,0.7,0.55,-0.19,0,1938,01,11,1938-01-11
19380112,-0.66,0.94,0.05,0,1938,01,12,1938-01-12
19380113,-1.13,-0.1,-0.3,0,1938,01,13,1938-01-13
19380114,0.04,-0.7,0.04,0,1938,01,14,1938-01-14
19380115,1.71,-0.01,0.07,0,1938,01,15,1938-01-15
19380117,-1.79,0.36,-0.78,0,1938,01,17,1938-01-17
19380118,-0.83,-0.22,-0.4,0,1938,01,18,1938-01-18
19380119,-1.09,-0.69,-0.39,0,1938,01,19,1938-01-19
19380120,1.49,-0.08,0.36,0,1938,01,20,1938-01-20
19380121,-1.37,0.63,-0.23,0,1938,01,21,1938-01-21
19380122,-0.55,-0.3,-0.43,0,1938,01,22,1938-01-22
19380124,-0.16,-0.03,0.97,0,1938,01,24,1938-01-24
19380125,-1.17,-0.14,-0.67,0,1938,01,25,1938-01-25
19380126,-3.6,-1.39,0.16,0,1938,01,26,1938-01-26
19380127,-1.42,-0.13,-0.61,0,1938,01,27,1938-01-27
19380128,-1.11,-0.4,-0.12,0,1938,01,28,1938-01-28
19380129,-0.14,1.04,0.32,0,1938,01,29,1938-01-29
19380131,1.06,-1.35,0.64,0,1938,01,31,1938-01-31
19380201,1.57,-0.04,0.14,0,1938,02,01,1938-02-01
19380202,-1.1,0.9,-0.67,0,1938,02,02,1938-02-02
19380203,-3.76,-0.21,0.74,0,1938,02,03,1938-02-03
19380204,1.63,-1.13,-0.57,0,1938,02,04,1938-02-04
19380205,1.73,0.65,0.27,0,1938,02,05,1938-02-05
19380207,-1.16,1.3,-0.42,0,1938,02,07,1938-02-07
19380208,3.11,-1.68,0.35,0,1938,02,08,1938-02-08
19380209,-0.16,0.79,-0.34,0,1938,02,09,1938-02-09
19380210,0.67,-0.05,0.02,0,1938,02,10,1938-02-10
19380211,-0.38,-0.28,0.17,0,1938,02,11,1938-02-11
19380214,0.8,-0.69,0.02,0,1938,02,14,1938-02-14
19380215,-0.76,0.98,-0.79,0,1938,02,15,1938-02-15
19380216,-0.32,0.09,0.12,0,1938,02,16,1938-02-16
19380217,2.36,-0.24,-0.11,0,1938,02,17,1938-02-17
19380218,-1.1,0.59,-0.3,0,1938,02,18,1938-02-18
19380219,1.14,-0.9,-0.39,0,1938,02,19,1938-02-19
19380221,1.47,-0.56,0.4,0,1938,02,21,1938-02-21
19380223,2.44,-0.26,0.42,0,1938,02,23,1938-02-23
19380224,-1.05,0.42,-0.37,0,1938,02,24,1938-02-24
19380225,0.56,0.34,0.34,0,1938,02,25,1938-02-25
19380226,-0.4,-0.16,-0.35,0,1938,02,26,1938-02-26
19380228,-1.31,0.41,-0.49,0,1938,02,28,1938-02-28
19380301,0.79,-0.63,0.08,0,1938,03,01,1938-03-01
19380302,-0.82,0.42,-0.64,0,1938,03,02,1938-03-02
19380303,-0.78,0.1,-0.17,0,1938,03,03,1938-03-03
19380304,-0.71,0.29,-0.72,0,1938,03,04,1938-03-04
19380305,-0.25,-0.49,0.25,0,1938,03,05,1938-03-05
19380307,-1.73,0.46,-0.46,0,1938,03,07,1938-03-07
19380308,-0.52,-1.26,-0.21,0,1938,03,08,1938-03-08
19380309,0.02,0.23,-0.18,0,1938,03,09,1938-03-09
19380310,-0.91,0.55,-0.43,0,1938,03,10,1938-03-10
19380311,-1.72,0.03,-0.12,0,1938,03,11,1938-03-11
19380312,0.26,-0.85,0.09,0,1938,03,12,1938-03-12
19380314,1.28,-0.25,-0.26,0,1938,03,14,1938-03-14
19380315,2.46,-0.08,-0.49,0,1938,03,15,1938-03-15
19380316,-3.63,0.6,-0.47,0,1938,03,16,1938-03-16
19380317,-0.8,-0.21,-0.11,0,1938,03,17,1938-03-17
19380318,-3.36,-1.61,-0.65,0,1938,03,18,1938-03-18
19380319,1.94,-0.57,0.37,0,1938,03,19,1938-03-19
19380321,-0.11,0.71,-0.09,0,1938,03,21,1938-03-21
19380322,-2.69,-0.42,-0.11,0,1938,03,22,1938-03-22
19380323,-2.29,-1.8,-0.36,0,1938,03,23,1938-03-23
19380324,0.31,-0.27,0.41,0,1938,03,24,1938-03-24
19380325,-5.11,-0.46,-0.82,0,1938,03,25,1938-03-25
19380326,-2.01,-0.91,-0.49,0,1938,03,26,1938-03-26
19380328,0.77,-0.41,0.48,0,1938,03,28,1938-03-28
19380329,-5.11,1.15,-1.41,0,1938,03,29,1938-03-29
19380330,-0.72,0.01,1.47,0,1938,03,30,1938-03-30
19380331,-1.22,-0.18,0.5,0,1938,03,31,1938-03-31
19380401,4.16,0.1,1.21,0,1938,04,01,1938-04-01
19380402,3.78,1.48,-0.33,0,1938,04,02,1938-04-02
19380404,0.65,1.21,0.68,0,1938,04,04,1938-04-04
19380405,1.91,-0.34,0.25,0,1938,04,05,1938-04-05
19380406,-1.62,0.75,-0.84,0,1938,04,06,1938-04-06
19380407,-0.61,0.45,-0.11,0,1938,04,07,1938-04-07
19380408,4.12,-0.78,-0.52,0,1938,04,08,1938-04-08
19380409,5.73,0.23,0.56,0,1938,04,09,1938-04-09
19380411,-2.41,1.23,0.36,0,1938,04,11,1938-04-11
19380412,0.41,-1.64,0.29,0,1938,04,12,1938-04-12
19380413,0.43,0.95,-1.14,0,1938,04,13,1938-04-13
19380414,1.23,-0.12,-0.35,0,1938,04,14,1938-04-14
19380416,3.74,0.68,0.24,0,1938,04,16,1938-04-16
19380418,-1.7,0.63,-0.66,0,1938,04,18,1938-04-18
19380419,-2.33,0.53,-0.14,0,1938,04,19,1938-04-19
19380420,-0.5,-0.73,0.24,0,1938,04,20,1938-04-20
19380421,0.55,0.32,-0.11,0,1938,04,21,1938-04-21
19380422,2.65,-0.36,0.52,0,1938,04,22,1938-04-22
19380423,-0.62,0.73,-0.07,0,1938,04,23,1938-04-23
19380425,-1.46,0.07,0.05,0,1938,04,25,1938-04-25
19380426,-1.65,0.46,0.33,0,1938,04,26,1938-04-26
19380427,0.72,-0.5,0.18,0,1938,04,27,1938-04-27
19380428,-2.5,0.27,-0.27,0,1938,04,28,1938-04-28
19380429,-0.31,-1.21,-0.23,0,1938,04,29,1938-04-29
19380430,-0.16,0.92,0.51,0,1938,04,30,1938-04-30
19380502,-1.24,-0.18,0.08,0,1938,05,02,1938-05-02
19380503,2.2,-1.03,-0.24,0,1938,05,03,1938-05-03
19380504,1.21,-0.58,0.54,0,1938,05,04,1938-05-04
19380505,-0.02,0.05,-0.49,0,1938,05,05,1938-05-05
19380506,3.58,-2.34,1.48,0,1938,05,06,1938-05-06
19380507,0.12,1.07,-0.4,0,1938,05,07,1938-05-07
19380509,1.48,-0.64,0.02,0,1938,05,09,1938-05-09
19380510,-1.1,1.6,-0.09,0,1938,05,10,1938-05-10
19380511,0.5,-0.12,0.34,0,1938,05,11,1938-05-11
19380512,-0.56,-0.11,-0.06,0,1938,05,12,1938-05-12
19380513,-1.16,0.51,-0.25,0,1938,05,13,1938-05-13
19380514,-0.03,0.13,-0.01,0,1938,05,14,1938-05-14
19380516,-1.36,0.71,-0.79,0,1938,05,16,1938-05-16
19380517,0.38,-1.07,-0.08,0,1938,05,17,1938-05-17
19380518,0.41,0.14,-0.24,0,1938,05,18,1938-05-18
19380519,-1.52,0.35,-0.82,0,1938,05,19,1938-05-19
19380520,-0.45,-0.31,0.5,0,1938,05,20,1938-05-20
19380521,-1.19,0.5,-0.71,0,1938,05,21,1938-05-21
19380523,0.4,-0.92,0.55,0,1938,05,23,1938-05-23
19380524,-1.2,0.56,-0.52,0,1938,05,24,1938-05-24
19380525,-1.5,0.18,0.43,0,1938,05,25,1938-05-25
19380526,-2.47,-0.3,-0.5,0,1938,05,26,1938-05-26
19380527,-0.21,-0.97,1.09,0,1938,05,27,1938-05-27
19380528,1.18,0.26,-0.03,0,1938,05,28,1938-05-28
19380531,-1.15,-0.28,0.07,0,1938,05,31,1938-05-31
19380601,2.44,-0.56,-0.02,0,1938,06,01,1938-06-01
19380602,-0.05,0.55,0.17,0,1938,06,02,1938-06-02
19380603,-0.97,0.28,-0.27,0,1938,06,03,1938-06-03
19380604,1.94,-0.72,-0.36,0,1938,06,04,1938-06-04
19380606,0.79,-0.07,-0.25,0,1938,06,06,1938-06-06
19380607,-0.33,0.99,-0.61,0,1938,06,07,1938-06-07
19380608,0.31,-0.88,-0.44,0,1938,06,08,1938-06-08
19380609,2.01,-0.56,0.44,0,1938,06,09,1938-06-09
19380610,-0.87,0.51,-0.57,0,1938,06,10,1938-06-10
19380611,-0.31,0.03,0.75,0,1938,06,11,1938-06-11
19380613,-1.81,1.27,-0.44,0,1938,06,13,1938-06-13
19380614,0.72,-1.07,-0.16,0,1938,06,14,1938-06-14
19380615,0.42,0.77,-1.25,0,1938,06,15,1938-06-15
19380616,0.77,-0.61,0.28,0,1938,06,16,1938-06-16
19380617,-0.65,0.07,0.33,0,1938,06,17,1938-06-17
19380618,0.07,0.13,-0.24,0,1938,06,18,1938-06-18
19380620,4.69,-1.42,0.7,0,1938,06,20,1938-06-20
19380621,2.38,0.81,0.33,0,1938,06,21,1938-06-21
19380622,2.77,0.6,0.08,0,1938,06,22,1938-06-22
19380623,2.78,1.08,0.79,0,1938,06,23,1938-06-23
19380624,1.03,0.2,-0.52,0,1938,06,24,1938-06-24
19380625,1.91,-0.48,0.85,0,1938,06,25,1938-06-25
19380627,-0.63,1.91,-0.59,0,1938,06,27,1938-06-27
19380628,-0.28,-0.64,-0.22,0,1938,06,28,1938-06-28
19380629,4.27,-0.17,0.61,0,1938,06,29,1938-06-29
19380630,-1.48,1.26,1.04,0,1938,06,30,1938-06-30
19380701,2.53,-0.93,1.46,0,1938,07,01,1938-07-01
19380702,1.72,0.83,0.97,0,1938,07,02,1938-07-02
19380705,-1.45,0.22,-0.26,0,1938,07,05,1938-07-05
19380706,1.38,0.74,0.04,0,1938,07,06,1938-07-06
19380707,-0.08,1.49,1.3,0,1938,07,07,1938-07-07
19380708,-1.34,0.38,-0.46,0,1938,07,08,1938-07-08
19380709,0.41,-0.43,-0.16,0,1938,07,09,1938-07-09
19380711,-1.53,0.48,-1.13,0,1938,07,11,1938-07-11
19380712,2.34,-0.26,0.94,0,1938,07,12,1938-07-12
19380713,-0.04,2.01,-0.15,0,1938,07,13,1938-07-13
19380714,-1.12,-0.46,-0.46,0,1938,07,14,1938-07-14
19380715,1.19,-0.76,0.51,0,1938,07,15,1938-07-15
19380716,0.88,0.61,0.29,0,1938,07,16,1938-07-16
19380718,1.72,0.62,0.19,0,1938,07,18,1938-07-18
19380719,2.22,-0.3,0.65,0,1938,07,19,1938-07-19
19380720,-0.66,0.25,0.58,0,1938,07,20,1938-07-20
19380721,-0.09,0.35,0.55,0,1938,07,21,1938-07-21
19380722,0.23,0.83,0.31,0,1938,07,22,1938-07-22
19380723,1.37,0,0.32,0,1938,07,23,1938-07-23
19380725,0.51,0.82,-1.31,0,1938,07,25,1938-07-25
19380726,-0.98,0.2,-0.66,0,1938,07,26,1938-07-26
19380727,-2.98,-1.6,-1.16,0,1938,07,27,1938-07-27
19380728,1.59,0.24,0.08,0,1938,07,28,1938-07-28
19380729,-0.8,1.02,-0.41,0,1938,07,29,1938-07-29
19380730,0.32,-0.27,0.3,0,1938,07,30,1938-07-30
19380801,-0.75,-0.71,-0.31,0,1938,08,01,1938-08-01
19380802,0.71,0.16,0.3,0,1938,08,02,1938-08-02
19380803,-0.73,-0.01,-1.24,0,1938,08,03,1938-08-03
19380804,0.51,-0.66,-0.4,0,1938,08,04,1938-08-04
19380805,1.94,0,0.98,0,1938,08,05,1938-08-05
19380806,1.06,0.59,0.37,0,1938,08,06,1938-08-06
19380808,-0.73,-0.3,-0.33,0,1938,08,08,1938-08-08
19380809,-0.66,-0.76,-0.09,0,1938,08,09,1938-08-09
19380810,-0.8,0.21,-0.55,0,1938,08,10,1938-08-10
19380811,-2.27,-0.52,-0.73,0,1938,08,11,1938-08-11
19380812,-1.9,-1.33,-1.43,0,1938,08,12,1938-08-12
19380813,-0.44,-0.28,0.27,0,1938,08,13,1938-08-13
19380815,0.56,0.45,-0.04,0,1938,08,15,1938-08-15
19380816,1.18,-0.17,0.17,0,1938,08,16,1938-08-16
19380817,0.16,0.26,-0.36,0,1938,08,17,1938-08-17
19380818,-0.23,-0.21,-0.33,0,1938,08,18,1938-08-18
19380819,1.37,-0.28,0.59,0,1938,08,19,1938-08-19
19380820,0.14,0.24,0.27,0,1938,08,20,1938-08-20
19380822,-0.44,0.11,-0.45,0,1938,08,22,1938-08-22
19380823,2.13,0.36,0.21,0,1938,08,23,1938-08-23
19380824,0.18,1.17,0.01,0,1938,08,24,1938-08-24
19380825,0.48,-0.3,0.53,0,1938,08,25,1938-08-25
19380826,-0.73,0.46,-0.2,0,1938,08,26,1938-08-26
19380827,-0.99,-0.31,-0.46,0,1938,08,27,1938-08-27
19380829,-3.54,-0.73,-1.23,0,1938,08,29,1938-08-29
19380830,1.15,-0.12,0.37,0,1938,08,30,1938-08-30
19380831,0.11,0.18,-0.73,0,1938,08,31,1938-08-31
19380901,-0.91,-0.62,-0.66,0.001,1938,09,01,1938-09-01
19380902,2.03,-0.51,0.6,0.001,1938,09,02,1938-09-02
19380903,0.9,0.67,0.15,0.001,1938,09,03,1938-09-03
19380906,-1,-0.21,-0.15,0.001,1938,09,06,1938-09-06
19380907,1.26,0.11,0.41,0.001,1938,09,07,1938-09-07
19380908,-0.7,0.33,-0.61,0.001,1938,09,08,1938-09-08
19380909,-1.91,-0.62,-0.43,0.001,1938,09,09,1938-09-09
19380910,-1.06,-0.12,-0.12,0.001,1938,09,10,1938-09-10
19380912,1.05,-0.9,-0.04,0.001,1938,09,12,1938-09-12
19380913,-4.54,0.84,-3.05,0.001,1938,09,13,1938-09-13
19380914,-2.06,-4.94,-1.43,0.001,1938,09,14,1938-09-14
19380915,3.47,0.66,1.48,0.001,1938,09,15,1938-09-15
19380916,-1.87,0.07,-0.73,0.001,1938,09,16,1938-09-16
19380917,-2.24,-0.82,-1.17,0.001,1938,09,17,1938-09-17
19380919,2.71,1.81,1.47,0.001,1938,09,19,1938-09-19
19380920,3.49,0.77,1.04,0.001,1938,09,20,1938-09-20
19380921,0.53,0.57,1.17,0.001,1938,09,21,1938-09-21
19380922,-1.47,0.06,-0.64,0.001,1938,09,22,1938-09-22
19380923,-2.83,-0.93,-1.04,0.001,1938,09,23,1938-09-23
19380924,-0.67,-1.33,0.23,0.001,1938,09,24,1938-09-24
19380926,-2.68,0.13,-1.22,0.001,1938,09,26,1938-09-26
19380927,-0.13,0.48,-0.42,0.001,1938,09,27,1938-09-27
19380928,3.86,0.24,1.69,0.001,1938,09,28,1938-09-28
19380929,3.49,0.67,1.33,0.001,1938,09,29,1938-09-29
19380930,2.75,1.35,1.3,0.001,1938,09,30,1938-09-30
19381001,1.66,0.35,1.32,0,1938,10,01,1938-10-01
19381003,0.81,1.4,-0.72,0,1938,10,03,1938-10-03
19381004,0.01,0.32,-0.52,0,1938,10,04,1938-10-04
19381005,2.82,0.33,2.41,0,1938,10,05,1938-10-05
19381006,-0.26,0.71,-0.13,0,1938,10,06,1938-10-06
19381007,0.04,-0.26,0.59,0,1938,10,07,1938-10-07
19381008,1.01,0.26,1.34,0,1938,10,08,1938-10-08
19381010,-0.22,0.68,-0.58,0,1938,10,10,1938-10-10
19381011,-0.58,-0.07,-0.07,0,1938,10,11,1938-10-11
19381013,2.41,-0.12,0.84,0,1938,10,13,1938-10-13
19381014,-0.55,-0.04,-0.47,0,1938,10,14,1938-10-14
19381015,0.83,-0.4,0.21,0,1938,10,15,1938-10-15
19381017,-1.17,-0.03,-0.58,0,1938,10,17,1938-10-17
19381018,0.97,0.48,0.51,0,1938,10,18,1938-10-18
19381019,-1.18,0.67,0,0,1938,10,19,1938-10-19
19381020,1.22,-1.13,0.63,0,1938,10,20,1938-10-20
19381021,0.23,1.05,0.01,0,1938,10,21,1938-10-21
19381022,1.07,-0.02,0.69,0,1938,10,22,1938-10-22
19381024,0.19,0.26,-0.2,0,1938,10,24,1938-10-24
19381025,0.1,0.43,0.35,0,1938,10,25,1938-10-25
19381026,-0.94,0.16,-0.23,0,1938,10,26,1938-10-26
19381027,0.25,-0.55,0.29,0,1938,10,27,1938-10-27
19381028,-1,-0.06,0.06,0,1938,10,28,1938-10-28
19381029,-0.33,0.24,-0.44,0,1938,10,29,1938-10-29
19381031,0.26,0.52,-0.54,0,1938,10,31,1938-10-31
19381101,-0.26,0.58,0.31,-0.003,1938,11,01,1938-11-01
19381102,0.17,-0.56,0.16,-0.003,1938,11,02,1938-11-02
19381103,0.25,-0.3,1.24,-0.003,1938,11,03,1938-11-03
19381104,-0.2,0.17,-0.58,-0.003,1938,11,04,1938-11-04
19381105,0.29,-0.01,0.04,-0.003,1938,11,05,1938-11-05
19381107,1.57,0.56,0.09,-0.003,1938,11,07,1938-11-07
19381109,2.42,-0.63,0.91,-0.003,1938,11,09,1938-11-09
19381110,-0.37,0.29,-0.44,-0.003,1938,11,10,1938-11-10
19381112,0.49,0.15,0.92,-0.003,1938,11,12,1938-11-12
19381114,-1.73,1.01,-1.04,-0.003,1938,11,14,1938-11-14
19381115,-0.53,-0.58,0.02,-0.003,1938,11,15,1938-11-15
19381116,-2.25,-0.43,-1.02,-0.003,1938,11,16,1938-11-16
19381117,0.87,-0.27,0.29,-0.003,1938,11,17,1938-11-17
19381118,-1.82,-0.8,-0.88,-0.003,1938,11,18,1938-11-18
19381119,0.26,0.15,0.42,-0.003,1938,11,19,1938-11-19
19381121,-0.07,-0.16,-0.6,-0.003,1938,11,21,1938-11-21
19381122,-0.59,0.29,-0.88,-0.003,1938,11,22,1938-11-22
19381123,0.35,-0.34,0.68,-0.003,1938,11,23,1938-11-23
19381125,0.23,0.07,0.17,-0.003,1938,11,25,1938-11-25
19381126,-1.32,-0.15,-1.06,-0.003,1938,11,26,1938-11-26
19381128,-1.66,-1.13,-1.16,-0.003,1938,11,28,1938-11-28
19381129,0.32,0.22,0,-0.003,1938,11,29,1938-11-29
19381130,1.98,-0.78,1.38,-0.003,1938,11,30,1938-11-30
19381201,-0.34,0.72,-0.26,0,1938,12,01,1938-12-01
19381202,-0.95,-0.31,-1.29,0,1938,12,02,1938-12-02
19381203,-0.02,0.1,-0.47,0,1938,12,03,1938-12-03
19381205,-0.39,-0.43,-0.49,0,1938,12,05,1938-12-05
19381206,0.63,-0.04,0.66,0,1938,12,06,1938-12-06
19381207,0.26,0.26,-0.44,0,1938,12,07,1938-12-07
19381208,-0.92,-0.57,-1,0,1938,12,08,1938-12-08
19381209,-0.54,-0.2,-0.95,0,1938,12,09,1938-12-09
19381210,0.65,-0.42,0.38,0,1938,12,10,1938-12-10
19381212,0.42,-0.09,-0.26,0,1938,12,12,1938-12-12
19381213,0.75,-0.77,0.54,0,1938,12,13,1938-12-13
19381214,2,0.07,0.64,0,1938,12,14,1938-12-14
19381215,0.28,0.48,0.13,0,1938,12,15,1938-12-15
19381216,-0.47,-0.55,-0.9,0,1938,12,16,1938-12-16
19381217,-0.33,-0.35,-0.4,0,1938,12,17,1938-12-17
19381219,-0.58,0.04,-0.14,0,1938,12,19,1938-12-19
19381220,-0.29,-0.81,-0.52,0,1938,12,20,1938-12-20
19381221,-0.79,-0.44,-0.22,0,1938,12,21,1938-12-21
19381222,0.55,-0.76,0.74,0,1938,12,22,1938-12-22
19381223,0.83,0.23,1.11,0,1938,12,23,1938-12-23
19381224,0.41,-0.02,1.11,0,1938,12,24,1938-12-24
19381227,-0.93,-0.35,-0.78,0,1938,12,27,1938-12-27
19381228,0.76,-0.32,0.37,0,1938,12,28,1938-12-28
19381229,2.31,1.16,2.25,0,1938,12,29,1938-12-29
19381230,0.53,0.92,0.26,0,1938,12,30,1938-12-30
19381231,0.41,0.84,0.6,0,1938,12,31,1938-12-31
19390103,-0.7,0.54,-0.42,0,1939,01,03,1939-01-03
19390104,0.93,0.77,1.23,0,1939,01,04,1939-01-04
19390105,-1.06,-0.04,-1.26,0,1939,01,05,1939-01-05
19390106,0.06,-0.14,0.53,0,1939,01,06,1939-01-06
19390107,-0.99,0.12,-0.33,0,1939,01,07,1939-01-07
19390109,-0.91,-0.27,-0.74,0,1939,01,09,1939-01-09
19390110,0.18,0.43,-0.1,0,1939,01,10,1939-01-10
19390111,-1.67,-0.37,-0.92,0,1939,01,11,1939-01-11
19390112,-0.77,-1.02,-0.38,0,1939,01,12,1939-01-12
19390113,-0.57,0.44,-0.47,0,1939,01,13,1939-01-13
19390114,1.99,-0.31,1.73,0,1939,01,14,1939-01-14
19390116,-0.07,0.3,0.04,0,1939,01,16,1939-01-16
19390117,0.53,-0.22,0.07,0,1939,01,17,1939-01-17
19390118,0.03,0.29,0.09,0,1939,01,18,1939-01-18
19390119,0.75,-0.15,0.45,0,1939,01,19,1939-01-19
19390120,-0.15,0.22,-0.3,0,1939,01,20,1939-01-20
19390121,-1.95,-0.05,-1.43,0,1939,01,21,1939-01-21
19390123,-4.02,-0.67,-2.17,0,1939,01,23,1939-01-23
19390124,-0.04,-1.67,0.5,0,1939,01,24,1939-01-24
19390125,-0.22,0.89,-0.44,0,1939,01,25,1939-01-25
19390126,-2.74,-0.59,-1.69,0,1939,01,26,1939-01-26
19390127,2.08,-1.28,0.72,0,1939,01,27,1939-01-27
19390128,-0.26,0.17,-0.4,0,1939,01,28,1939-01-28
19390130,2.38,-0.66,1.08,0,1939,01,30,1939-01-30
19390131,1.34,1.68,0.74,0,1939,01,31,1939-01-31
19390201,-1,0.52,0.15,0,1939,02,01,1939-02-01
19390202,1.84,-0.87,0.64,0,1939,02,02,1939-02-02
19390203,-0.59,0.71,-0.47,0,1939,02,03,1939-02-03
19390204,0.78,0.31,0.25,0,1939,02,04,1939-02-04
19390206,0.34,-0.07,-0.46,0,1939,02,06,1939-02-06
19390207,-0.93,-0.38,-0.57,0,1939,02,07,1939-02-07
19390208,0.95,-0.37,0.84,0,1939,02,08,1939-02-08
19390209,-1.04,0.39,-0.61,0,1939,02,09,1939-02-09
19390210,0.08,-0.62,-0.21,0,1939,02,10,1939-02-10
19390211,0.64,0.13,0.23,0,1939,02,11,1939-02-11
19390214,-0.31,0,-0.67,0,1939,02,14,1939-02-14
19390215,0.21,-0.26,0.21,0,1939,02,15,1939-02-15
19390216,0.96,0.35,0.46,0,1939,02,16,1939-02-16
19390217,-0.55,0.35,-0.81,0,1939,02,17,1939-02-17
19390218,0.67,-0.24,0.86,0,1939,02,18,1939-02-18
19390220,-2.24,0.07,-0.57,0,1939,02,20,1939-02-20
19390221,0.15,-0.37,0.17,0,1939,02,21,1939-02-21
19390223,0.28,0.18,0.23,0,1939,02,23,1939-02-23
19390224,2.07,0.35,1.22,0,1939,02,24,1939-02-24
19390225,0.76,0.48,0.47,0,1939,02,25,1939-02-25
19390227,-0.06,-0.05,0.28,0,1939,02,27,1939-02-27
19390228,0.55,-0.02,1.28,0,1939,02,28,1939-02-28
19390301,-0.08,-0.31,-0.14,0,1939,03,01,1939-03-01
19390302,-0.01,-0.06,-0.23,0,1939,03,02,1939-03-02
19390303,1.25,-0.29,0.47,0,1939,03,03,1939-03-03
19390304,0.21,0.61,-0.17,0,1939,03,04,1939-03-04
19390306,-0.69,0.03,-1.15,0,1939,03,06,1939-03-06
19390307,0.45,-0.11,0.04,0,1939,03,07,1939-03-07
19390308,1.61,-0.09,1.11,0,1939,03,08,1939-03-08
19390309,-0.06,0.66,-0.6,0,1939,03,09,1939-03-09
19390310,0.64,0.22,-0.62,0,1939,03,10,1939-03-10
19390311,-0.37,0.02,-0.96,0,1939,03,11,1939-03-11
19390313,-0.68,-0.11,-0.48,0,1939,03,13,1939-03-13
19390314,0.36,-0.28,0.11,0,1939,03,14,1939-03-14
19390315,-2.34,-0.04,-1.12,0,1939,03,15,1939-03-15
19390316,0.06,0.17,0.28,0,1939,03,16,1939-03-16
19390317,-2.85,-0.86,-1.62,0,1939,03,17,1939-03-17
19390318,-1.7,-0.34,-0.57,0,1939,03,18,1939-03-18
19390320,-0.55,0.11,-0.09,0,1939,03,20,1939-03-20
19390321,1.58,0.04,0.5,0,1939,03,21,1939-03-21
19390322,-2.94,-1.1,-1.27,0,1939,03,22,1939-03-22
19390323,1.08,0.36,0.94,0,1939,03,23,1939-03-23
19390324,1.37,0.5,1,0,1939,03,24,1939-03-24
19390325,-0.3,0.18,-0.65,0,1939,03,25,1939-03-25
19390327,-0.16,0,-0.59,0,1939,03,27,1939-03-27
19390328,-1.35,-0.7,-0.41,0,1939,03,28,1939-03-28
19390329,0.57,0.06,0.53,0,1939,03,29,1939-03-29
19390330,-2.86,-0.16,-1.65,0,1939,03,30,1939-03-30
19390331,-4.71,-3.72,-2.17,0,1939,03,31,1939-03-31
19390401,1.8,-0.57,2.24,0,1939,04,01,1939-04-01
19390403,0.08,1.01,-0.13,0,1939,04,03,1939-04-03
19390404,-2.02,-0.42,-0.91,0,1939,04,04,1939-04-04
19390405,0.78,0.89,0,0,1939,04,05,1939-04-05
19390406,-3.28,-1.31,-1.14,0,1939,04,06,1939-04-06
19390408,-4.13,-1.48,-2.18,0,1939,04,08,1939-04-08
19390410,1.74,-0.08,1.57,0,1939,04,10,1939-04-10
19390411,-0.19,0.52,1.01,0,1939,04,11,1939-04-11
