Date,Returns
10/03/1997,-0.004827071
11/03/1997,0.004850485
12/03/1997,0.003218021
13/03/1997,-0.016038492
14/03/1997,0.004889935
17/03/1997,-0.01378751
18/03/1997,-0.004111883
19/03/1997,0.019818415
20/03/1997,-0.001619474
21/03/1997,0.01378751
24/03/1997,-0.00800004
25/03/1997,0.010483871
26/03/1997,0.006384677
27/03/1997,-0.009516218
31/03/1997,-0.03122494
01/04/1997,0.003305785
02/04/1997,-0.00741355
03/04/1997,-0.001659793
04/04/1997,0.017456401
07/04/1997,0.029411806
08/04/1997,0.000793571
09/04/1997,-0.01665345
10/04/1997,0.006451613
11/04/1997,-0.020032052
14/04/1997,0.012264964
15/04/1997,0.015347294
16/04/1997,0.002386714
17/04/1997,0.003174603
18/04/1997,0.00079106
21/04/1997,-0.004743044
22/04/1997,0.002382844
23/04/1997,-0.001584746
24/04/1997,-0.002381032
25/04/1997,0.002386714
28/04/1997,0.006349206
29/04/1997,0.003943139
30/04/1997,-0.001571053
01/05/1997,-0.008654563
02/05/1997,0.007936468
05/05/1997,0.027559055
06/05/1997,0.012260536
07/05/1997,-0.014383005
08/05/1997,0.013824846
09/05/1997,-0.003030303
12/05/1997,0.004559309
13/05/1997,0.006807867
14/05/1997,0.004507851
15/05/1997,-0.004487622
16/05/1997,0.003756499
19/05/1997,0.001497043
20/05/1997,0.008221226
21/05/1997,0.028169014
22/05/1997,0.018745494
23/05/1997,0.013446532
27/05/1997,0.001396683
28/05/1997,-0.009762901
29/05/1997,-0.000704261
30/05/1997,0.018322798
02/06/1997,0.000692042
03/06/1997,-0.011065007
04/06/1997,0.017482517
05/06/1997,0.024054948
06/06/1997,0.017449699
09/06/1997,0.014511873
10/06/1997,0.020156014
11/06/1997,-0.000637285
12/06/1997,0.013392857
13/06/1997,0.021397041
16/06/1997,-0.049291376
17/06/1997,0.007777025
18/06/1997,0.018006431
19/06/1997,0.01263427
20/06/1997,-0.013100499
23/06/1997,-0.004424747
24/06/1997,0.015873016
25/06/1997,-0.003125
26/06/1997,-0.005642665
27/06/1997,0.005674685
30/06/1997,-0.009404389
01/07/1997,0.001898734
02/07/1997,0.003790303
03/07/1997,-0.008810604
07/07/1997,0.008888921
08/07/1997,0.000629264
09/07/1997,-0.006289277
10/07/1997,-0.009493703
11/07/1997,0.005750831
14/07/1997,-0.014612452
15/07/1997,0.000644778
16/07/1997,0.025128833
17/07/1997,-0.008799466
18/07/1997,-0.019023462
21/07/1997,0.018099515
22/07/1997,0.012698413
23/07/1997,0.001880846
24/07/1997,-0.003754662
25/07/1997,0.006281438
28/07/1997,-0.003121099
29/07/1997,-0.002504696
30/07/1997,0.003138669
31/07/1997,-0.010638236
01/08/1997,0.005060088
04/08/1997,-0.003146664
05/08/1997,-0.005681818
06/08/1997,0.003174603
07/08/1997,-0.012025348
08/08/1997,-0.018577835
11/08/1997,-0.022193212
12/08/1997,-0.007343091
13/08/1997,-0.004034936
14/08/1997,-0.003376131
15/08/1997,-0.012872663
18/08/1997,0.007549829
19/08/1997,0.028610353
20/08/1997,-0.006622549
21/08/1997,-0.017333333
22/08/1997,-0.016960651
25/08/1997,0.009661836
26/08/1997,-0.007518763
27/08/1997,-0.009641907
28/08/1997,-0.024339395
29/08/1997,-0.007840307
02/09/1997,0.014367816
03/09/1997,0.031869653
04/09/1997,-0.00686335
05/09/1997,0.004146441
08/09/1997,-0.011699932
09/09/1997,0.007660237
10/09/1997,-0.013130684
11/09/1997,-0.011904762
12/09/1997,0.007087208
15/09/1997,0.002814919
16/09/1997,0.034385965
17/09/1997,0.002035312
18/09/1997,-0.000677082
19/09/1997,-0.000677507
22/09/1997,0.003389831
23/09/1997,0.012162128
24/09/1997,0.001335147
25/09/1997,-0.004666633
26/09/1997,0
29/09/1997,0.001339551
30/09/1997,0
01/10/1997,0.000668896
02/10/1997,0.019385027
03/10/1997,0.003278689
06/10/1997,0.009150294
07/10/1997,-0.003238277
08/10/1997,-0.009746621
09/10/1997,-0.007874016
10/10/1997,-0.013227513
13/10/1997,-0.004691655
14/10/1997,0.011447811
15/10/1997,-0.000665812
16/10/1997,-0.001332445
17/10/1997,-0.010006671
